date,type,abs
2000-01-01,Births,537853
2001-01-01,Births,505479
2002-01-01,Births,494538
2003-01-01,Births,481399
2004-01-01,Births,481800
2005-01-01,Births,474473
2006-01-01,Births,472698
2007-01-01,Births,479647
2008-01-01,Births,493203
2009-01-01,Births,501644
2010-01-01,Births,491239
2011-01-01,Births,511594
2012-01-01,Births,526012
2013-01-01,Births,503914
2014-01-01,Births,528612
2015-01-01,Births,521136
2016-01-01,Births,508203
2017-01-01,Births,508685
2018-01-01,Births,501945
2019-01-01,Births,489863
2020-01-01,Births,471504
2021-01-01,Births,439744
2022-01-01,Births,423124
2023-01-01,Births,455761
2000-01-01,Deaths,100707
2001-01-01,Deaths,104531
2002-01-01,Deaths,110367
2003-01-01,Deaths,112744
2004-01-01,Deaths,113192
2005-01-01,Deaths,115436
2006-01-01,Deaths,117778
2007-01-01,Deaths,120670
2008-01-01,Deaths,127098
2009-01-01,Deaths,131328
2010-01-01,Deaths,130978
2011-01-01,Deaths,135463
2012-01-01,Deaths,138692
2013-01-01,Deaths,142202
2014-01-01,Deaths,150318
2015-01-01,Deaths,155786
2016-01-01,Deaths,162201
2017-01-01,Deaths,168168
2018-01-01,Deaths,172031
2019-01-01,Deaths,174254
2020-01-01,Deaths,167181
2021-01-01,Deaths,224931
2022-01-01,Deaths,206780
2023-01-01,Deaths,196965
